"uid","transaction_amount"
"U1001",235.751475953743
"U1002",215.951777261583
"U1003",204.287095336826
"U1004",196.381837033272
"U1005",207.954343752922
"U1006",215.968311285479
"U1007",200.025889424308
"U1008",160.055635820981
"U1009",201.122996187358
"U1010",186.460615711882
"U1011",218.939819310511
"U1012",207.15611678028
"U1013",202.494456998385
"U1014",200.890372396151
"U1015",179.428151863813
"U1016",214.543494417245
"U1017",238.297056138498
"U1018",170.784547716162
"U1019",207.838954362093
"U1020",191.780409736322
"U1001",226.367372410916
"U1002",207.237231481261
"U1003",185.835387055525
"U1004",217.05783060492
"U1005",210.876896128916
"U1006",174.501507689623
"U1007",224.604682794653
"U1008",232.161715597715
"U1009",219.354687691313
"U1010",234.006076254904
"U1011",199.302691652025
"U1012",179.628278011931
"U1013",253.451831236035
"U1014",224.391204724407
"U1015",252.815397625262
"U1016",170.185062777712
"U1017",264.398300211951
"U1018",227.000488218917
"U1019",213.508401244216
"U1020",242.641313790994
"U1001",178.596617061812
"U1002",197.627735335806
"U1003",210.343843941406
"U1004",240.026222381805
"U1005",204.989080782738
"U1006",198.302031364997
"U1007",187.461691429028
"U1008",200.582840860491
"U1009",217.903101682039
"U1010",185.844248449963
"U1011",208.170653044773
"U1012",164.882192878145
"U1013",225.078978339816
"U1014",225.789603658765
"U1015",201.823050086184
"U1016",212.984742218115
"U1017",195.410329647954
"U1018",191.10225601204
"U1019",222.749561607398
"U1020",208.156912115311
"U1001",197.827766245148
"U1002",195.085333991287
"U1003",227.296852374278
"U1004",200.457908535703
"U1005",217.575995652644
"U1006",216.488625739582
"U1007",179.620451009136
"U1008",164.793349363185
"U1009",207.321155127472
"U1010",217.835445872473
"U1011",148.761053852248
"U1012",188.686998597826
"U1013",214.038558798495
"U1014",244.046148411275
"U1015",182.868437625083
"U1016",160.530226809853
"U1017",234.615290008378
"U1018",182.543574164502
"U1019",187.619929058838
"U1020",189.268031519565
"U1001",224.918103142538
"U1002",273.478274567131
"U1003",188.891065025954
"U1004",218.811266668945
"U1005",233.211436118087
"U1006",190.067367599827
"U1007",258.284539789764
"U1008",221.965163891267
"U1009",168.589049431842
"U1010",195.567353047159
"U1011",200.286794167879
"U1012",146.054021734982
"U1013",246.072959276556
"U1014",200.8493947282
"U1015",244.668525723181
"U1016",244.477658193337
"U1017",190.594446877111
"U1018",228.922654505751
"U1019",189.855139671605
"U1020",210.274093631809
"U1001",234.879647570732
"U1002",198.058720655358
"U1003",206.144320837201
"U1004",233.691785947118
"U1005",189.392325530137
"U1006",206.176738669488
"U1007",194.177471639555
"U1008",190.287523833979
"U1009",220.09616472256
"U1010",180.144747389328
"U1011",203.867583186593
"U1012",196.43610115711
"U1013",180.186842606685
"U1014",182.121048846216
"U1015",216.757040235537
"U1016",269.740166993407
"U1017",219.023645990663
"U1018",184.382170545768
"U1019",153.233202477551
"U1020",206.734095884955
